id,data_type,data
148,attachment,https://www.skku.edu/skku/campus/skk_comm/notice01.do?mode=download&articleNo=97974&attachNo=78838
148,image,https://www.skku.edu/_attach/image/2022/06/evRMbcOVlVtRhEStDoAh.jpg
149,attachment,https://www.skku.edu/skku/campus/skk_comm/notice01.do?mode=download&articleNo=97923&attachNo=78804
149,attachment,https://www.skku.edu/skku/campus/skk_comm/notice01.do?mode=download&articleNo=97923&attachNo=78805
149,attachment,https://www.skku.edu/skku/campus/skk_comm/notice01.do?mode=download&articleNo=97923&attachNo=78806
149,attachment,https://www.skku.edu/skku/campus/skk_comm/notice01.do?mode=download&articleNo=97923&attachNo=78807
149,image,https://www.skku.edu/_attach/image/2022/06/uPZNDfnwEOGrtGktWYgv.jpg
152,attachment,https://www.skku.edu/skku/campus/skk_comm/notice01.do?mode=download&articleNo=72184&attachNo=56689
153,attachment,https://www.skku.edu/skku/campus/skk_comm/notice01.do?mode=download&articleNo=97936&attachNo=78823
154,attachment,https://www.skku.edu/skku/campus/skk_comm/notice01.do?mode=download&articleNo=92610&attachNo=73016
155,image,https://www.skku.edu/_attach/image/2022/06/aWzlsazrLfDdsbQXInVQ.png
158,attachment,https://www.skku.edu/skku/campus/skk_comm/notice01.do?mode=download&articleNo=97942&attachNo=78827
158,image,https://www.skku.edu/_attach/image/2022/06/GOgymQiXlmvRqfOFXpxw.jpg
159,attachment,https://www.skku.edu/skku/campus/skk_comm/notice01.do?mode=download&articleNo=97941&attachNo=78825
160,attachment,https://www.skku.edu/skku/campus/skk_comm/notice01.do?mode=download&articleNo=97544&attachNo=78441
161,attachment,https://www.skku.edu/skku/campus/skk_comm/notice01.do?mode=download&articleNo=97937&attachNo=78824
162,image,https://www.skku.edu/_attach/image/2022/06/DkQumchpegsSPgPRlART.png
163,attachment,https://www.skku.edu/skku/campus/skk_comm/notice01.do?mode=download&articleNo=97933&attachNo=78819
163,image,https://www.skku.edu/_attach/image/2022/06/ABtmdlDlmkWRmUiZyctd.jpg
164,image,https://www.skku.edu/_attach/image/2022/06/pVIzhXCKBycwYXXCUVmK.jpg
166,attachment,https://www.skku.edu/skku/campus/skk_comm/notice01.do?mode=download&articleNo=97323&attachNo=78257
168,attachment,https://www.skku.edu/skku/campus/skk_comm/notice01.do?mode=download&articleNo=96056&attachNo=76771
168,attachment,https://www.skku.edu/skku/campus/skk_comm/notice01.do?mode=download&articleNo=96056&attachNo=78795
169,attachment,https://www.skku.edu/skku/campus/skk_comm/notice01.do?mode=download&articleNo=97899&attachNo=78791
171,attachment,https://www.skku.edu/skku/campus/skk_comm/notice01.do?mode=download&articleNo=97891&attachNo=78783
171,attachment,https://www.skku.edu/skku/campus/skk_comm/notice01.do?mode=download&articleNo=97891&attachNo=78784
171,image,https://www.skku.edu/_attach/image/2022/06/iUynhIskvMMtyDzZNpmk.jpg
173,image,https://www.skku.edu/_attach/image/2022/06/rSqxOaugdhcTPLkGzskd.jpg
174,attachment,https://www.skku.edu/skku/campus/skk_comm/notice01.do?mode=download&articleNo=97884&attachNo=78776
174,attachment,https://www.skku.edu/skku/campus/skk_comm/notice01.do?mode=download&articleNo=97884&attachNo=78777
174,attachment,https://www.skku.edu/skku/campus/skk_comm/notice01.do?mode=download&articleNo=97884&attachNo=78778
176,image,https://www.skku.edu/_attach/image/2022/06/VLRckMqiFaSmDCBcPWTn.jpg
177,attachment,https://www.skku.edu/skku/campus/skk_comm/notice01.do?mode=download&articleNo=97880&attachNo=78773
178,attachment,https://www.skku.edu/skku/campus/skk_comm/notice01.do?mode=download&articleNo=97878&attachNo=78772
178,image,https://www.skku.edu/_attach/image/2022/06/VnyHgOjyNpmAkzzwurFp.jpg
179,attachment,https://www.skku.edu/skku/campus/skk_comm/notice01.do?mode=download&articleNo=97877&attachNo=78770
180,attachment,https://www.skku.edu/skku/campus/skk_comm/notice01.do?mode=download&articleNo=97876&attachNo=78768
180,attachment,https://www.skku.edu/skku/campus/skk_comm/notice01.do?mode=download&articleNo=97876&attachNo=78769
181,attachment,https://www.skku.edu/skku/campus/skk_comm/notice01.do?mode=download&articleNo=97875&attachNo=78767
182,image,https://www.skku.edu/_attach/image/2022/05/eTwRQTKvrpqhMTZhGJSs.png
183,image,https://www.skku.edu/_attach/image/2022/05/mnjYnLzJjdpoCLxfAytx.jpg
184,image,https://www.skku.edu/_attach/image/2022/06/LiAwPKCVrHwkNFOCHxMH.jpg
185,image,https://www.skku.edu/_attach/image/2022/06/wMGiSdJrhzMMOWUXbIja.jpg
186,image,https://www.skku.edu/_attach/image/2022/06/gIQBhxzinPnfvFizaPbg.png
187,attachment,https://www.skku.edu/skku/campus/skk_comm/notice01.do?mode=download&articleNo=97872&attachNo=78764
187,attachment,https://www.skku.edu/skku/campus/skk_comm/notice01.do?mode=download&articleNo=97872&attachNo=78765
188,attachment,https://www.skku.edu/skku/campus/skk_comm/notice01.do?mode=download&articleNo=97870&attachNo=78762
